,Region,Venue,Venue ID,Venue Latitude,Venue Longitude,Venue Primary Category,Venue Address,Venue Categories,Venue Likes,Venue Rating,Venue Is Open
78,Shevchenkivskyi,Зе Румс,5675425d498edfae4eecf5f6,48.46292308908625,35.05401931839625,Modern European Restaurant,"['вул. Барикадна, 11-А', 'Дніпро', 'Україна']","['Modern European Restaurant', 'Café']",121,8.1,False
79,Shevchenkivskyi,Біла Стріла,5ab0fd37b9ac387ddca36566,48.45987015610638,35.054043900463604,Coffee Shop,"['вулиця Гоголя 2 (проспект Яворницького)', 'Дніпро́, 49000', 'Україна']",['Coffee Shop'],32,8.3,False
80,Shevchenkivskyi,Люба Кава / Luba Kava,559bc832498e2b5571aa3406,48.458054144409545,35.05248763555939,Coffee Shop,"['вул. Гоголя, 10', 'Дніпро, 49000', 'Україна']",['Coffee Shop'],34,8.4,False
81,Shevchenkivskyi,One Black Coffee Please,596117aa603d2a7c94bdf809,48.46529939249351,35.05746347130197,Coffee Shop,"['Дніпро́, 49000', 'Україна']",['Coffee Shop'],8,8.1,False
82,Shevchenkivskyi,The Place,57f8e321498e8e2795202873,48.46303006916368,35.046968048129415,Bar,"['вул. Михайла Грушевського, 2', 'Дніпро', 'Україна']","['Bar', 'Café', 'Breakfast Spot']",201,7.6,False
83,Shevchenkivskyi,Ча Дао,53f71ee0498ecdca24da94c2,48.45948072157266,35.05538353220708,Tea Room,"['вул. Гоголя, 1 (просп. Дмитра Яворницького)', 'Дніпро', 'Україна']",['Tea Room'],46,8.2,False
84,Shevchenkivskyi,Shepit,5c3dd2cafb8e59002c388c41,48.45773667874997,35.05447697307785,Coffee Shop,"['Шевченко 25', 'Дніпро', 'Україна']",['Coffee Shop'],31,8.4,
85,Shevchenkivskyi,Нос,58e2752ffef5fa7476df74e1,48.45583757788077,35.05050081197196,Coffee Shop,"['вулиця Гоголя, 26', 'Дніпро, 49044', 'Україна']",['Coffee Shop'],85,8.3,False
86,Shevchenkivskyi,Buoni Fratelli,51f95f2c498e15311c4a4412,48.457747302112736,35.0573022097345,Italian Restaurant,"['вул. Володимира Моссаковського, 1-Д', 'Дніпро', 'Україна']",['Italian Restaurant'],377,8.5,False
87,Shevchenkivskyi,Culturist,5d90b54614e7a900086dec15,48.458355,35.05848,Coffee Shop,"['проспект Дмитрия Яворницкого 26', 'Дніпро́, 49000', 'Україна']","['Coffee Shop', 'Wine Bar', 'Dessert Shop']",8,8.4,False
